,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
147,0.9,0.9,1.0,0.9,-4,-4,3,10000,3,"(2021, 12, 21)",0.0
148,0.9,0.9,1.0,0.9,-4,-4,3,10000,6,"(2021, 3, 21)",506.6666666666667
149,0.9,0.9,1.0,0.9,-4,-4,3,10000,6,"(2021, 6, 21)",0.0
150,0.9,0.9,1.0,0.9,-4,-4,3,10000,6,"(2021, 9, 21)",515.5555555555555
151,0.9,0.9,1.0,0.9,-4,-4,3,10000,6,"(2021, 12, 21)",0.0
152,0.9,0.9,1.0,0.9,-4,-4,3,15000,3,"(2021, 3, 21)",600.0
153,0.9,0.9,1.0,0.9,-4,-4,3,15000,3,"(2021, 6, 21)",546.6666666666666
154,0.9,0.9,1.0,0.9,-4,-4,3,15000,3,"(2021, 9, 21)",0.0
155,0.9,0.9,1.0,0.9,-4,-4,3,15000,3,"(2021, 12, 21)",0.0
156,0.9,0.9,1.0,0.9,-4,-4,3,15000,6,"(2021, 3, 21)",653.3333333333334
157,0.9,0.9,1.0,0.9,-4,-4,3,15000,6,"(2021, 6, 21)",0.0
158,0.9,0.9,1.0,0.9,-4,-4,3,15000,6,"(2021, 9, 21)",0.0
159,0.9,0.9,1.0,0.9,-4,-4,3,15000,6,"(2021, 12, 21)",40.0
160,0.9,0.9,1.0,0.9,-4,-4,3,20000,3,"(2021, 3, 21)",0.0
161,0.9,0.9,1.0,0.9,-4,-4,3,20000,3,"(2021, 6, 21)",0.0
162,0.9,0.9,1.0,0.9,-4,-4,3,20000,3,"(2021, 9, 21)",0.0
163,0.9,0.9,1.0,0.9,-4,-4,3,20000,3,"(2021, 12, 21)",0.0
164,0.9,0.9,1.0,0.9,-4,-4,3,20000,6,"(2021, 3, 21)",0.0
165,0.9,0.9,1.0,0.9,-4,-4,3,20000,6,"(2021, 6, 21)",657.7777777777778
166,0.9,0.9,1.0,0.9,-4,-4,3,20000,6,"(2021, 9, 21)",0.0
167,0.9,0.9,1.0,0.9,-4,-4,3,20000,6,"(2021, 12, 21)",0.0
168,0.9,0.9,1.0,0.9,-4,-4,5,10000,3,"(2021, 3, 21)",0.0
169,0.9,0.9,1.0,0.9,-4,-4,5,10000,3,"(2021, 6, 21)",577.7777777777778
170,0.9,0.9,1.0,0.9,-4,-4,5,10000,3,"(2021, 9, 21)",0.0
171,0.9,0.9,1.0,0.9,-4,-4,5,10000,3,"(2021, 12, 21)",604.4444444444445
172,0.9,0.9,1.0,0.9,-4,-4,5,10000,6,"(2021, 3, 21)",551.1111111111111
173,0.9,0.9,1.0,0.9,-4,-4,5,10000,6,"(2021, 6, 21)",0.0
174,0.9,0.9,1.0,0.9,-4,-4,5,10000,6,"(2021, 9, 21)",604.4444444444445
175,0.9,0.9,1.0,0.9,-4,-4,5,10000,6,"(2021, 12, 21)",275.55555555555554
176,0.9,0.9,1.0,0.9,-4,-4,5,15000,3,"(2021, 3, 21)",626.6666666666666
177,0.9,0.9,1.0,0.9,-4,-4,5,15000,3,"(2021, 6, 21)",586.6666666666666
178,0.9,0.9,1.0,0.9,-4,-4,5,15000,3,"(2021, 9, 21)",0.0
179,0.9,0.9,1.0,0.9,-4,-4,5,15000,3,"(2021, 12, 21)",0.0
180,0.9,0.9,1.0,0.9,-4,-4,5,15000,6,"(2021, 3, 21)",0.0
181,0.9,0.9,1.0,0.9,-4,-4,5,15000,6,"(2021, 6, 21)",0.0
182,0.9,0.9,1.0,0.9,-4,-4,5,15000,6,"(2021, 9, 21)",0.0
183,0.9,0.9,1.0,0.9,-4,-4,5,15000,6,"(2021, 12, 21)",0.0
184,0.9,0.9,1.0,0.9,-4,-4,5,20000,3,"(2021, 3, 21)",0.0
185,0.9,0.9,1.0,0.9,-4,-4,5,20000,3,"(2021, 6, 21)",0.0
186,0.9,0.9,1.0,0.9,-4,-4,5,20000,3,"(2021, 9, 21)",604.4444444444445
187,0.9,0.9,1.0,0.9,-4,-4,5,20000,3,"(2021, 12, 21)",0.0
188,0.9,0.9,1.0,0.9,-4,-4,5,20000,6,"(2021, 3, 21)",640.0
189,0.9,0.9,1.0,0.9,-4,-4,5,20000,6,"(2021, 6, 21)",480.0
190,0.9,0.9,1.0,0.9,-4,-4,5,20000,6,"(2021, 9, 21)",0.0
191,0.9,0.9,1.0,0.9,-4,-4,5,20000,6,"(2021, 12, 21)",0.0
192,0.9,0.9,1.0,1.0,-4,-4,3,10000,3,"(2021, 3, 21)",506.6666666666667
193,0.9,0.9,1.0,1.0,-4,-4,3,10000,3,"(2021, 6, 21)",0.0
194,0.9,0.9,1.0,1.0,-4,-4,3,10000,3,"(2021, 9, 21)",373.3333333333333
195,0.9,0.9,1.0,1.0,-4,-4,3,10000,3,"(2021, 12, 21)",0.0
196,0.9,0.9,1.0,1.0,-4,-4,3,10000,6,"(2021, 3, 21)",0.0
197,0.9,0.9,1.0,1.0,-4,-4,3,10000,6,"(2021, 6, 21)",0.0
198,0.9,0.9,1.0,1.0,-4,-4,3,10000,6,"(2021, 9, 21)",0.0
199,0.9,0.9,1.0,1.0,-4,-4,3,10000,6,"(2021, 12, 21)",0.0
200,0.9,0.9,1.0,1.0,-4,-4,3,15000,3,"(2021, 3, 21)",0.0
201,0.9,0.9,1.0,1.0,-4,-4,3,15000,3,"(2021, 6, 21)",0.0
202,0.9,0.9,1.0,1.0,-4,-4,3,15000,3,"(2021, 9, 21)",613.3333333333334
203,0.9,0.9,1.0,1.0,-4,-4,3,15000,3,"(2021, 12, 21)",0.0
204,0.9,0.9,1.0,1.0,-4,-4,3,15000,6,"(2021, 3, 21)",0.0
205,0.9,0.9,1.0,1.0,-4,-4,3,15000,6,"(2021, 6, 21)",0.0
206,0.9,0.9,1.0,1.0,-4,-4,3,15000,6,"(2021, 9, 21)",426.6666666666667
207,0.9,0.9,1.0,1.0,-4,-4,3,15000,6,"(2021, 12, 21)",453.3333333333333
208,0.9,0.9,1.0,1.0,-4,-4,3,20000,3,"(2021, 3, 21)",604.4444444444445
209,0.9,0.9,1.0,1.0,-4,-4,3,20000,3,"(2021, 6, 21)",622.2222222222222
210,0.9,0.9,1.0,1.0,-4,-4,3,20000,3,"(2021, 9, 21)",622.2222222222222
211,0.9,0.9,1.0,1.0,-4,-4,3,20000,3,"(2021, 12, 21)",0.0
212,0.9,0.9,1.0,1.0,-4,-4,3,20000,6,"(2021, 3, 21)",0.0
213,0.9,0.9,1.0,1.0,-4,-4,3,20000,6,"(2021, 6, 21)",604.4444444444445
214,0.9,0.9,1.0,1.0,-4,-4,3,20000,6,"(2021, 9, 21)",0.0
215,0.9,0.9,1.0,1.0,-4,-4,3,20000,6,"(2021, 12, 21)",0.0
216,0.9,0.9,1.0,1.0,-4,-4,5,10000,3,"(2021, 3, 21)",524.4444444444445
217,0.9,0.9,1.0,1.0,-4,-4,5,10000,3,"(2021, 6, 21)",17.77777777777778
218,0.9,0.9,1.0,1.0,-4,-4,5,10000,3,"(2021, 9, 21)",613.3333333333334
219,0.9,0.9,1.0,1.0,-4,-4,5,10000,3,"(2021, 12, 21)",0.0
220,0.9,0.9,1.0,1.0,-4,-4,5,10000,6,"(2021, 3, 21)",0.0
221,0.9,0.9,1.0,1.0,-4,-4,5,10000,6,"(2021, 6, 21)",453.3333333333333
222,0.9,0.9,1.0,1.0,-4,-4,5,10000,6,"(2021, 9, 21)",542.2222222222222
223,0.9,0.9,1.0,1.0,-4,-4,5,10000,6,"(2021, 12, 21)",657.7777777777778
224,0.9,0.9,1.0,1.0,-4,-4,5,15000,3,"(2021, 3, 21)",0.0
225,0.9,0.9,1.0,1.0,-4,-4,5,15000,3,"(2021, 6, 21)",0.0
226,0.9,0.9,1.0,1.0,-4,-4,5,15000,3,"(2021, 9, 21)",0.0
227,0.9,0.9,1.0,1.0,-4,-4,5,15000,3,"(2021, 12, 21)",653.3333333333334
228,0.9,0.9,1.0,1.0,-4,-4,5,15000,6,"(2021, 3, 21)",0.0
229,0.9,0.9,1.0,1.0,-4,-4,5,15000,6,"(2021, 6, 21)",653.3333333333334
230,0.9,0.9,1.0,1.0,-4,-4,5,15000,6,"(2021, 9, 21)",0.0
231,0.9,0.9,1.0,1.0,-4,-4,5,15000,6,"(2021, 12, 21)",546.6666666666666
